Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
hexapod: 43 train / 5 val clips, stratified over 1 body
cross-embodiment: {'hexapod': 2779} | heads {'hexapod': 18}
Loading weights:   0%|          | 0/843 [00:00<?, ?it/s]Loading weights:  31%|███▏      | 264/843 [00:00<00:00, 2631.30it/s]Loading weights:  64%|██████▍   | 539/843 [00:00<00:00, 2677.42it/s]Loading weights: 100%|██████████| 843/843 [00:00<00:00, 3221.14it/s]
config -> /home/aria/ioon-research/wm/runs/beh12_hexonly/config.yaml
train 2779 pairs | val 323 pairs | heldout n/a (cross-embodiment) | trainable 95.8M
epoch   1 | train 6.1166 (recon 4.8759 motion 0.9952) | val 4.5805 (recon 3.5919 motion 0.9208) | body 0.4909
epoch   2 | train 3.8320 (recon 3.0340 motion 0.6333) | val 3.6708 (recon 2.7295 motion 0.8892) | body 0.3295
epoch   3 | train 3.0453 (recon 2.4916 motion 0.4353) | val 3.2276 (recon 2.3747 motion 0.8214) | body 0.2367
epoch   4 | train 2.7149 (recon 2.2574 motion 0.3610) | val 2.9196 (recon 2.1896 motion 0.6809) | body 0.1931
epoch   5 | train 2.5145 (recon 2.1332 motion 0.2846) | val 2.8023 (recon 2.0931 motion 0.6850) | body 0.1935
epoch   6 | train 2.3776 (recon 2.0611 motion 0.2435) | val 2.6764 (recon 2.0290 motion 0.6229) | body 0.1459
epoch   7 | train 2.2947 (recon 2.0126 motion 0.2134) | val 2.5312 (recon 1.9859 motion 0.5049) | body 0.1375
epoch   8 | train 2.1851 (recon 1.9722 motion 0.1593) | val 2.4157 (recon 1.9503 motion 0.4417) | body 0.1071
epoch   9 | train 2.1082 (recon 1.9286 motion 0.1268) | val 2.2479 (recon 1.9212 motion 0.3016) | body 0.1056
epoch  10 | train 2.0630 (recon 1.9064 motion 0.1079) | val 2.3243 (recon 1.8964 motion 0.3906) | body 0.0973
epoch  11 | train 2.0173 (recon 1.8836 motion 0.0891) | val 2.1060 (recon 1.8798 motion 0.1977) | body 0.0892
epoch  12 | train 1.9840 (recon 1.8726 motion 0.0724) | val 2.0053 (recon 1.8519 motion 0.1194) | body 0.0779
epoch  13 | train 1.9579 (recon 1.8540 motion 0.0638) | val 1.9709 (recon 1.8320 motion 0.1040) | body 0.0802
epoch  14 | train 1.9330 (recon 1.8422 motion 0.0533) | val 1.9589 (recon 1.8157 motion 0.1072) | body 0.0751
epoch  15 | train 1.9022 (recon 1.8232 motion 0.0465) | val 1.9669 (recon 1.8034 motion 0.1271) | body 0.0650
epoch  16 | train 1.8826 (recon 1.8117 motion 0.0420) | val 1.9394 (recon 1.7844 motion 0.1215) | body 0.0578
epoch  17 | train 1.8622 (recon 1.7980 motion 0.0363) | val 1.8732 (recon 1.7723 motion 0.0657) | body 0.0558
epoch  18 | train 1.8477 (recon 1.7903 motion 0.0323) | val 1.8525 (recon 1.7606 motion 0.0555) | body 0.0502
epoch  19 | train 1.8302 (recon 1.7755 motion 0.0288) | val 1.9064 (recon 1.7547 motion 0.1227) | body 0.0519
epoch  20 | train 1.8287 (recon 1.7739 motion 0.0306) | val 1.8503 (recon 1.7424 motion 0.0756) | body 0.0484
epoch  21 | train 1.8174 (recon 1.7700 motion 0.0243) | val 1.8509 (recon 1.7385 motion 0.0839) | body 0.0461
epoch  22 | train 1.7972 (recon 1.7537 motion 0.0225) | val 1.8674 (recon 1.7263 motion 0.1051) | body 0.0419
epoch  23 | train 1.7889 (recon 1.7466 motion 0.0215) | val 1.8164 (recon 1.7251 motion 0.0545) | body 0.0418
epoch  24 | train 1.7836 (recon 1.7441 motion 0.0203) | val 1.7849 (recon 1.7123 motion 0.0468) | body 0.0385
epoch  25 | train 1.7769 (recon 1.7401 motion 0.0181) | val 1.8112 (recon 1.7088 motion 0.0691) | body 0.0376
epoch  26 | train 1.7720 (recon 1.7355 motion 0.0180) | val 1.7891 (recon 1.7025 motion 0.0548) | body 0.0369
epoch  27 | train 1.7586 (recon 1.7258 motion 0.0157) | val 1.7752 (recon 1.6928 motion 0.0460) | body 0.0342
epoch  28 | train 1.7482 (recon 1.7168 motion 0.0146) | val 1.7789 (recon 1.6947 motion 0.0529) | body 0.0336
