Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
hexapod: holding out ['c08f09t09'] (29 clips withheld from training)
hexapod: capped at 12 clips per body, 111 -> 48 clips
hexapod: c06f06t06 keeps episodes [6, 28, 59, 70, 113, 126, 144, 154, 198, 246, 255, 262]
hexapod: 44 train / 4 val clips, stratified over 4 bodies
cross-embodiment: {'hexapod': 2860} | heads {'hexapod': 18}
Loading weights:   0%|          | 0/843 [00:00<?, ?it/s]Loading weights:  30%|██▉       | 250/843 [00:00<00:00, 2450.05it/s]Loading weights:  59%|█████▉    | 496/843 [00:00<00:00, 2446.28it/s]Loading weights: 100%|██████████| 843/843 [00:00<00:00, 3082.01it/s]
config -> /home/aria/ioon-research/wm/runs/m3d_body/config.yaml
train 2860 pairs | val 260 pairs | heldout n/a (cross-embodiment) | trainable 95.8M
epoch   1 | train 5.4150 (recon 4.6348 motion 0.4875) | val 3.6236 (recon 3.2343 motion 0.2049) | body 0.5853
epoch   2 | train 2.9905 (recon 2.7527 motion 0.1365) | val 2.5685 (recon 2.3949 motion 0.0917) | body 0.2025
epoch   3 | train 2.3253 (recon 2.1924 motion 0.0762) | val 2.1764 (recon 2.0397 motion 0.0591) | body 0.1136
epoch   4 | train 2.0365 (recon 1.9455 motion 0.0506) | val 1.9744 (recon 1.8734 motion 0.0418) | body 0.0810
epoch   5 | train 1.8865 (recon 1.8160 motion 0.0368) | val 1.8451 (recon 1.7700 motion 0.0328) | body 0.0674
epoch   6 | train 1.7938 (recon 1.7353 motion 0.0295) | val 1.7699 (recon 1.7056 motion 0.0235) | body 0.0580
epoch   7 | train 1.7386 (recon 1.6869 motion 0.0263) | val 1.7436 (recon 1.6740 motion 0.0258) | body 0.0508
epoch   8 | train 1.7005 (recon 1.6518 motion 0.0234) | val 1.6935 (recon 1.6315 motion 0.0235) | body 0.0504
epoch   9 | train 1.6682 (recon 1.6233 motion 0.0229) | val 1.6777 (recon 1.6148 motion 0.0208) | body 0.0441
epoch  10 | train 1.6341 (recon 1.5964 motion 0.0181) | val 1.6426 (recon 1.5835 motion 0.0176) | body 0.0391
epoch  11 | train 1.6182 (recon 1.5798 motion 0.0172) | val 1.6290 (recon 1.5771 motion 0.0195) | body 0.0424
epoch  12 | train 1.5973 (recon 1.5647 motion 0.0146) | val 1.6137 (recon 1.5655 motion 0.0172) | body 0.0358
epoch  13 | train 1.5814 (recon 1.5493 motion 0.0147) | val 1.6011 (recon 1.5500 motion 0.0136) | body 0.0348
epoch  14 | train 1.5668 (recon 1.5366 motion 0.0137) | val 1.5825 (recon 1.5365 motion 0.0158) | body 0.0330
epoch  15 | train 1.5522 (recon 1.5241 motion 0.0117) | val 1.5723 (recon 1.5247 motion 0.0206) | body 0.0328
epoch  16 | train 1.5490 (recon 1.5210 motion 0.0125) | val 1.5484 (recon 1.5139 motion 0.0111) | body 0.0311
epoch  17 | train 1.5324 (recon 1.5061 motion 0.0114) | val 1.5514 (recon 1.5090 motion 0.0129) | body 0.0298
epoch  18 | train 1.5268 (recon 1.5026 motion 0.0093) | val 1.5408 (recon 1.5022 motion 0.0090) | body 0.0298
epoch  19 | train 1.5217 (recon 1.4981 motion 0.0090) | val 1.5244 (recon 1.4917 motion 0.0090) | body 0.0293
epoch  20 | train 1.5166 (recon 1.4946 motion 0.0083) | val 1.5210 (recon 1.4860 motion 0.0075) | body 0.0275
epoch  21 | train 1.5127 (recon 1.4915 motion 0.0081) | val 1.5161 (recon 1.4852 motion 0.0094) | body 0.0261
epoch  22 | train 1.5036 (recon 1.4835 motion 0.0074) | val 1.5164 (recon 1.4821 motion 0.0080) | body 0.0254
epoch  23 | train 1.4906 (recon 1.4705 motion 0.0071) | val 1.5005 (recon 1.4705 motion 0.0080) | body 0.0259
epoch  24 | train 1.4863 (recon 1.4663 motion 0.0071) | val 1.5022 (recon 1.4686 motion 0.0082) | body 0.0260
epoch  25 | train 1.4855 (recon 1.4666 motion 0.0067) | val 1.4949 (recon 1.4651 motion 0.0070) | body 0.0242
epoch  26 | train 1.4789 (recon 1.4615 motion 0.0059) | val 1.4924 (recon 1.4631 motion 0.0057) | body 0.0229
epoch  27 | train 1.4711 (recon 1.4533 motion 0.0060) | val 1.4799 (recon 1.4558 motion 0.0063) | body 0.0235
epoch  28 | train 1.4685 (recon 1.4511 motion 0.0061) | val 1.5006 (recon 1.4699 motion 0.0087) | body 0.0224
epoch  29 | train 1.4636 (recon 1.4465 motion 0.0059) | val 1.4794 (recon 1.4496 motion 0.0056) | body 0.0223
epoch  30 | train 1.4525 (recon 1.4367 motion 0.0050) | val 1.4751 (recon 1.4466 motion 0.0050) | body 0.0215
epoch  31 | train 1.4518 (recon 1.4360 motion 0.0049) | val 1.4711 (recon 1.4427 motion 0.0053) | body 0.0219
epoch  32 | train 1.4513 (recon 1.4362 motion 0.0048) | val 1.4652 (recon 1.4388 motion 0.0044) | body 0.0207
epoch  33 | train 1.4476 (recon 1.4331 motion 0.0042) | val 1.4680 (recon 1.4413 motion 0.0057) | body 0.0208
epoch  34 | train 1.4505 (recon 1.4365 motion 0.0041) | val 1.4631 (recon 1.4368 motion 0.0043) | body 0.0198
epoch  35 | train 1.4489 (recon 1.4354 motion 0.0037) | val 1.4583 (recon 1.4351 motion 0.0043) | body 0.0195
epoch  36 | train 1.4384 (recon 1.4255 motion 0.0038) | val 1.4521 (recon 1.4283 motion 0.0046) | body 0.0181
epoch  37 | train 1.4369 (recon 1.4239 motion 0.0036) | val 1.4531 (recon 1.4312 motion 0.0043) | body 0.0190
epoch  38 | train 1.4299 (recon 1.4174 motion 0.0035) | val 1.4535 (recon 1.4274 motion 0.0038) | body 0.0181
epoch  39 | train 1.4380 (recon 1.4257 motion 0.0033) | val 1.4455 (recon 1.4246 motion 0.0036) | body 0.0180
epoch  40 | train 1.4260 (recon 1.4138 motion 0.0032) | val 1.4495 (recon 1.4231 motion 0.0038) | body 0.0180
epoch  41 | train 1.4233 (recon 1.4114 motion 0.0032) | val 1.4450 (recon 1.4212 motion 0.0038) | body 0.0174
epoch  42 | train 1.4211 (recon 1.4097 motion 0.0031) | val 1.4414 (recon 1.4186 motion 0.0040) | body 0.0166
epoch  43 | train 1.4243 (recon 1.4129 motion 0.0030) | val 1.4435 (recon 1.4204 motion 0.0034) | body 0.0168
epoch  44 | train 1.4178 (recon 1.4067 motion 0.0029) | val 1.4395 (recon 1.4172 motion 0.0034) | body 0.0165
epoch  45 | train 1.4168 (recon 1.4058 motion 0.0029) | val 1.4392 (recon 1.4162 motion 0.0034) | body 0.0163
epoch  46 | train 1.4228 (recon 1.4117 motion 0.0028) | val 1.4371 (recon 1.4149 motion 0.0034) | body 0.0168
epoch  47 | train 1.4164 (recon 1.4055 motion 0.0027) | val 1.4361 (recon 1.4141 motion 0.0034) | body 0.0163
epoch  48 | train 1.4203 (recon 1.4097 motion 0.0026) | val 1.4360 (recon 1.4139 motion 0.0033) | body 0.0159
epoch  49 | train 1.4144 (recon 1.4036 motion 0.0027) | val 1.4358 (recon 1.4137 motion 0.0033) | body 0.0161
epoch  50 | train 1.4153 (recon 1.4049 motion 0.0027) | val 1.4357 (recon 1.4137 motion 0.0033) | body 0.0156
best val selection 1.4170 | motion 0.0033 -> /home/aria/ioon-research/wm/runs/m3d_body
