budget,seed,model,best_epoch,train_deg,test_deg,test_mse,own_mean,r2,train_eps,test_eps
1,0,pretrained_stage2,150,0.7480961056395103,2.346095915035568,0.06038154289126396,0.9822813868522644,0.9385292812228098,93,"6,22,28,69,101,130,144,198"
1,0,random_backbone,225,2.1696751169819,6.17517701681629,0.39888885617256165,0.9822813868522644,0.5939158966955416,93,"6,22,28,69,101,130,144,198"
1,1,pretrained_stage2,100,1.0238261466778706,2.5601694115493996,0.0764559730887413,0.9884033799171448,0.9226469934824075,144,"6,22,28,69,93,101,130,198"
1,1,random_backbone,125,3.6371453155839593,6.726386516327836,0.45144122838974,0.9884033799171448,0.5432621563601057,144,"6,22,28,69,93,101,130,198"
1,2,pretrained_stage2,125,0.7801836406691427,2.7790261749163565,0.08850103616714478,0.9793965816497803,0.9096371808669518,28,"6,22,69,93,101,130,144,198"
1,2,random_backbone,125,3.4699523165423907,7.130850682182127,0.4985678493976593,0.9793965816497803,0.49094385385966066,28,"6,22,69,93,101,130,144,198"
3,0,pretrained_stage2,300,0.7899558271024326,1.9416229980014021,0.042073991149663925,0.9810316562652588,0.9571125040859154,"28,93,101","6,22,69,130,144,198"
3,0,random_backbone,250,3.324149122103775,5.329902260326308,0.2906617820262909,0.9810316562652588,0.7037182437793836,"28,93,101","6,22,69,130,144,198"
3,1,pretrained_stage2,300,0.7490698344830603,2.0183680707327234,0.045599665492773056,0.9845060706138611,0.9536826974928243,"6,22,144","28,69,93,101,130,198"
3,1,random_backbone,275,3.2635947993565573,5.562253769945917,0.32242172956466675,0.9845060706138611,0.6725040716471867,"6,22,144","28,69,93,101,130,198"
3,2,pretrained_stage2,275,0.8607909719326944,1.944632123217616,0.04229928180575371,0.9874868392944336,0.9571647133687606,"28,130,144","6,22,69,93,101,198"
3,2,random_backbone,275,3.2074066750362706,5.144571053613536,0.2674756348133087,0.9874868392944336,0.7291349877590045,"28,130,144","6,22,69,93,101,198"
5,0,pretrained_stage2,300,1.0066092674926783,1.791808348085873,0.03685181960463524,0.9842387437820435,0.9625580481997404,"28,69,93,101,130","6,22,144,198"
5,0,random_backbone,250,3.6385834972910702,5.424974224704654,0.2958299517631531,0.9842387437820435,0.6994327304913901,"28,69,93,101,130","6,22,144,198"
5,1,pretrained_stage2,300,0.9897232255954086,1.7701663600921589,0.03382313624024391,0.9809554219245911,0.9655202107208049,"6,22,28,93,144","69,101,130,198"
5,1,random_backbone,300,3.637076586805436,5.249203148395784,0.26732999086380005,0.9809554219245911,0.7274799803447638,"6,22,28,93,144","69,101,130,198"
5,2,pretrained_stage2,300,1.0766267106132428,1.6840363939978287,0.030414067208766937,0.987682044506073,0.9692066213231844,"28,101,130,144,198","6,22,69,93"
5,2,random_backbone,300,3.3434745020300913,4.6063897130569655,0.21465501189231873,0.987682044506073,0.7826679009846079,"28,101,130,144,198","6,22,69,93"
7,0,pretrained_stage2,300,1.1271119471416862,1.6466419620656552,0.02909952588379383,0.9866805672645569,0.9705076527812152,"28,69,93,101,130,144,198","6,22"
7,0,random_backbone,300,3.597518692453661,4.74981770921171,0.22757010161876678,0.9866805672645569,0.7693578761263382,"28,69,93,101,130,144,198","6,22"
7,1,pretrained_stage2,300,1.1257308615471684,1.8204731579285358,0.03574342653155327,0.9803311228752136,0.9635394350974787,"6,22,28,93,101,144,198","69,130"
7,1,random_backbone,300,3.774466268847066,4.893687106341566,0.2457704246044159,0.9803311228752136,0.7492985595687346,"6,22,28,93,101,144,198","69,130"
7,2,pretrained_stage2,300,1.1632663795743852,1.6535850628003848,0.02901739627122879,0.9866805672645569,0.9705908910807114,"28,69,93,101,130,144,198","6,22"
7,2,random_backbone,275,3.5121675813681237,4.707660500993922,0.21746177971363068,0.9866805672645569,0.7796026526431801,"28,69,93,101,130,144,198","6,22"
