budget,seed,model,best_epoch,train_deg,test_deg,test_mse,own_mean,r2,train_eps,test_eps
1,0,pretrained_stage2,125,0.99012492609597,2.3983127112403153,0.06251053512096405,0.9822813868522644,0.9363618857512103,93,"6,22,28,69,101,130,144,198"
1,0,random_backbone,225,2.1696751169819,6.17517701681629,0.39888885617256165,0.9822813868522644,0.5939158966955416,93,"6,22,28,69,101,130,144,198"
1,1,pretrained_stage2,125,0.9536086003589662,2.518788923906289,0.07345940172672272,0.9884033799171448,0.9256787226558446,144,"6,22,28,69,93,101,130,198"
1,1,random_backbone,125,3.6371453155839593,6.726386516327836,0.45144122838974,0.9884033799171448,0.5432621563601057,144,"6,22,28,69,93,101,130,198"
1,2,pretrained_stage2,100,1.20947517063046,2.8879497629314885,0.09680146723985672,0.9793965816497803,0.901162134876154,28,"6,22,69,93,101,130,144,198"
1,2,random_backbone,125,3.4699523165423907,7.130850682182127,0.4985678493976593,0.9793965816497803,0.49094385385966066,28,"6,22,69,93,101,130,144,198"
3,0,pretrained_stage2,275,0.9131259624265948,1.8591992633054502,0.03761102259159088,0.9810316562652588,0.9616617645807942,"28,93,101","6,22,69,130,144,198"
3,0,random_backbone,250,3.324149122103775,5.329902260326308,0.2906617820262909,0.9810316562652588,0.7037182437793836,"28,93,101","6,22,69,130,144,198"
3,1,pretrained_stage2,300,0.7645267660182107,1.9961710231472396,0.045385800302028656,0.9845060706138611,0.9538999284445959,"6,22,144","28,69,93,101,130,198"
3,1,random_backbone,275,3.2635947993565573,5.562253769945917,0.32242172956466675,0.9845060706138611,0.6725040716471867,"6,22,144","28,69,93,101,130,198"
3,2,pretrained_stage2,300,0.8493139596103987,1.9167769042350116,0.04082147032022476,0.9874868392944336,0.9586612512735947,"28,130,144","6,22,69,93,101,198"
3,2,random_backbone,275,3.2074066750362706,5.144571053613536,0.2674756348133087,0.9874868392944336,0.7291349877590045,"28,130,144","6,22,69,93,101,198"
5,0,pretrained_stage2,300,1.0550085215599176,1.7020699076756607,0.032615043222904205,0.9842387437820435,0.9668626708418555,"28,69,93,101,130","6,22,144,198"
5,0,random_backbone,250,3.6385834972910702,5.424974224704654,0.2958299517631531,0.9842387437820435,0.6994327304913901,"28,69,93,101,130","6,22,144,198"
5,1,pretrained_stage2,300,1.0141146848951703,1.6577998231268114,0.030042003840208054,0.9809554219245911,0.9693747512182899,"6,22,28,93,144","69,101,130,198"
5,1,random_backbone,300,3.637076586805436,5.249203148395784,0.26732999086380005,0.9809554219245911,0.7274799803447638,"6,22,28,93,144","69,101,130,198"
5,2,pretrained_stage2,300,1.0870577968580273,1.6079778619997998,0.028219010680913925,0.987682044506073,0.9714290536738208,"28,101,130,144,198","6,22,69,93"
5,2,random_backbone,300,3.3434745020300913,4.6063897130569655,0.21465501189231873,0.987682044506073,0.7826679009846079,"28,101,130,144,198","6,22,69,93"
7,0,pretrained_stage2,300,1.1721074191247318,1.4867161775792743,0.025045383721590042,0.9866805672645569,0.9746165227607299,"28,69,93,101,130,144,198","6,22"
7,0,random_backbone,300,3.597518692453661,4.74981770921171,0.22757010161876678,0.9866805672645569,0.7693578761263382,"28,69,93,101,130,144,198","6,22"
7,1,pretrained_stage2,300,1.1352785055114942,1.5560847527286874,0.026518141850829124,0.9803311228752136,0.9729498113116576,"6,22,28,93,101,144,198","69,130"
7,1,random_backbone,300,3.774466268847066,4.893687106341566,0.2457704246044159,0.9803311228752136,0.7492985595687346,"6,22,28,93,101,144,198","69,130"
7,2,pretrained_stage2,300,1.1787643989662613,1.4908441731589006,0.025249281898140907,0.9866805672645569,0.9744098721148008,"28,69,93,101,130,144,198","6,22"
7,2,random_backbone,275,3.5121675813681237,4.707660500993922,0.21746177971363068,0.9866805672645569,0.7796026526431801,"28,69,93,101,130,144,198","6,22"
