budget,seed,model,best_epoch,train_deg,test_deg,test_mse,own_mean,r2,train_eps,test_eps
1,0,pretrained_stage2,175,0.5525497106927494,2.5750144008235996,0.06412607431411743,0.9859125018119812,0.9349576415794891,113,"28,69,93,101,126,150,167,246,257"
1,0,random_backbone,150,3.0685380435959217,7.016895379182811,0.4468773603439331,0.9859125018119812,0.5467373022224289,113,"28,69,93,101,126,150,167,246,257"
1,1,pretrained_stage2,100,1.0831820913908683,2.5437357629629376,0.06627373397350311,0.9856128096580505,0.9327588548727404,246,"28,69,93,101,113,126,150,167,257"
1,1,random_backbone,175,2.997824027901722,6.489594103087249,0.39880797266960144,0.9856128096580505,0.5953705463629635,246,"28,69,93,101,113,126,150,167,257"
1,2,pretrained_stage2,150,0.7066957677591243,2.690059759325767,0.0731997936964035,0.9764071106910706,0.9250314823653886,93,"28,69,101,113,126,150,167,246,257"
1,2,random_backbone,150,3.046958701243501,7.0071773006543525,0.43620765209198,0.9764071106910706,0.5532522783624079,93,"28,69,101,113,126,150,167,246,257"
3,0,pretrained_stage2,300,0.7706366903959044,2.018028268821515,0.043121203780174255,0.984991729259491,0.9562217605496115,"93,113,150","28,69,101,126,167,246,257"
3,0,random_backbone,275,3.330273453911749,5.565165138079635,0.3027302324771881,0.984991729259491,0.6926570817962316,"93,113,150","28,69,101,126,167,246,257"
3,1,pretrained_stage2,300,0.7874675571712852,2.0710465450366815,0.044061072170734406,0.9874761700630188,0.955380115990118,"113,167,246","28,69,93,101,126,150,257"
3,1,random_backbone,300,3.4635929835382857,6.03573187472131,0.34641972184181213,0.9874761700630188,0.6491867527094812,"113,167,246","28,69,93,101,126,150,257"
3,2,pretrained_stage2,300,0.8378304906249032,2.0504268442626477,0.04182766005396843,0.9781883955001831,0.9572396685072302,"28,93,167","69,101,113,126,150,246,257"
3,2,random_backbone,300,3.0064859884297674,5.650875047540009,0.30359071493148804,0.9781883955001831,0.6896398318278443,"28,93,167","69,101,113,126,150,246,257"
5,0,pretrained_stage2,300,1.0115826057037998,1.725514745445141,0.03231426700949669,0.9852095246315002,0.9672006144869709,"93,101,113,150,167","28,69,126,246,257"
5,0,random_backbone,300,3.612297087383453,5.423889505287091,0.27683165669441223,0.9852095246315002,0.7190124031759071,"93,101,113,150,167","28,69,126,246,257"
5,1,pretrained_stage2,300,0.9570517627525931,1.8913728693907952,0.03500545769929886,0.9822795987129211,0.9643630410881316,"28,69,113,167,246","93,101,126,150,257"
5,1,random_backbone,300,3.9760379578588356,5.318407905726822,0.28887689113616943,0.9822795987129211,0.7059117470069782,"28,69,113,167,246","93,101,126,150,257"
5,2,pretrained_stage2,300,1.0494437316553555,1.663254476231007,0.02937173657119274,0.9790210127830505,0.9699988701083155,"28,93,150,167,257","69,101,113,126,246"
5,2,random_backbone,300,3.5452807653511687,4.962120052296393,0.23863020539283752,0.9790210127830505,0.7562562986115217,"28,93,150,167,257","69,101,113,126,246"
7,0,pretrained_stage2,300,1.109853980099768,1.5631404448630162,0.02637665346264839,0.9856553673744202,0.973239476661188,"93,101,113,126,150,167,257","28,69,246"
7,0,random_backbone,300,3.9100886394409544,5.031159604426882,0.23715507984161377,0.9856553673744202,0.7593935084294774,"93,101,113,126,150,167,257","28,69,246"
7,1,pretrained_stage2,300,1.0535285049441405,1.9213294387602364,0.03524090722203255,0.9831678867340088,0.9641557584441661,"28,69,93,113,126,167,246","101,150,257"
7,1,random_backbone,300,4.133354716803978,5.0272723730154985,0.2544672191143036,0.9831678867340088,0.7411762298709534,"28,69,93,113,126,167,246","101,150,257"
7,2,pretrained_stage2,300,1.132062553629476,1.551725277769221,0.025388848036527634,0.9801374077796936,0.9740966441694732,"28,93,101,126,150,167,257","69,113,246"
7,2,random_backbone,300,3.7645957917227513,4.762633705415593,0.21714897453784943,0.9801374077796936,0.7784504776429693,"28,93,101,126,150,167,257","69,113,246"
