checkpoint,trained_on,rolled_on,steps,ftm,hold_still,vs_hold
stage1_m3d_cross,insects,b1,1,3.455,2.192,0.63
stage1_m3d_cross,insects,b1,10,6.238,4.421,0.71
stage1_m3d_cross,insects,heldout_insect,1,1.391,2.114,1.52
stage1_m3d_cross,insects,heldout_insect,10,2.982,4.364,1.46
stage2_clean,insects+b1,b1,1,1.576,2.192,1.39
stage2_clean,insects+b1,b1,10,3.301,4.421,1.34
stage2_clean,insects+b1,heldout_insect,1,1.535,2.114,1.38
stage2_clean,insects+b1,heldout_insect,10,3.349,4.364,1.30
stage1_tib_cross,4_insect_bodies,heldout_c10f10t08,1,1.694,2.079,1.23
stage1_tib_cross,4_insect_bodies,heldout_c10f10t08,10,3.844,3.997,1.04
stage1_bracket_cross,6_insect_bodies,heldout_c10f10t08,1,1.613,2.079,1.29
stage1_bracket_cross,6_insect_bodies,heldout_c10f10t08,10,3.727,3.997,1.07
