backbone,clips,model,h1,h3,h5,h10,h1_lo,h1_hi,h3_lo,h3_hi,h5_lo,h5_hi,h10_lo,h10_hi,m1,m3,m5,m10
beh12_hexonly,1,pretrained,0.87,0.75,0.71,0.67,0.83,0.92,0.70,0.80,0.66,0.76,0.62,0.73,0.86,1.22,1.31,1.41
beh12_hexonly,3,pretrained,1.06,0.89,0.82,0.74,1.05,1.06,0.88,0.91,0.80,0.84,0.72,0.75,0.68,1.01,1.14,1.28
beh12_hexonly,5,pretrained,1.09,0.93,0.85,0.76,1.08,1.10,0.91,0.96,0.83,0.88,0.74,0.78,0.62,0.95,1.10,1.28
beh12_hexonly,7,pretrained,1.20,1.04,0.93,0.80,1.18,1.22,1.02,1.06,0.93,0.94,0.78,0.82,0.58,0.88,1.03,1.22
beh12_hexonly,9,pretrained,1.25,1.12,1.01,0.86,1.21,1.29,1.04,1.20,0.91,1.11,0.76,0.96,0.54,0.82,0.97,1.17
m3d_body,1,pretrained,0.87,0.73,0.71,0.67,0.83,0.91,0.70,0.77,0.67,0.74,0.64,0.71,0.85,1.23,1.32,1.40
m3d_body,3,pretrained,1.08,0.91,0.84,0.75,1.07,1.09,0.90,0.93,0.83,0.85,0.74,0.75,0.64,0.98,1.10,1.26
m3d_body,5,pretrained,1.13,0.96,0.87,0.76,1.08,1.19,0.90,1.02,0.83,0.91,0.75,0.78,0.60,0.94,1.08,1.26
m3d_body,7,pretrained,1.21,1.05,0.95,0.81,1.19,1.24,1.01,1.09,0.92,0.98,0.81,0.82,0.56,0.87,1.02,1.22
m3d_body,9,pretrained,1.25,1.11,0.99,0.81,1.20,1.29,1.03,1.18,0.92,1.07,0.76,0.87,0.53,0.82,0.97,1.23
scratch,1,scratch,0.76,0.69,0.66,0.64,0.71,0.82,0.64,0.74,0.60,0.71,0.59,0.69,1.12,1.37,1.46,1.53
scratch,3,scratch,0.89,0.94,0.92,0.87,0.88,0.90,0.90,0.97,0.89,0.95,0.86,0.88,0.92,0.92,0.95,1.02
scratch,5,scratch,0.90,0.98,0.98,0.93,0.89,0.91,0.94,1.02,0.93,1.02,0.88,0.98,0.91,0.87,0.89,0.96
scratch,7,scratch,0.92,1.02,1.01,0.96,0.91,0.93,1.00,1.04,0.99,1.04,0.93,0.99,0.89,0.84,0.86,0.92
scratch,9,scratch,0.92,1.01,1.01,0.96,0.91,0.94,0.96,1.06,0.95,1.06,0.92,1.00,0.88,0.85,0.86,0.91
